Date,ABEV3.SA,ALPA4.SA,ALSO3.SA,AMER3.SA,ARZZ3.SA,AZUL4.SA,B3SA3.SA,BBAS3.SA,BBDC3.SA,BBDC4.SA,BBSE3.SA,BEEF3.SA,BOVA11.SA,BPAC11.SA,BRAP4.SA,BRFS3.SA,BRKM5.SA,CCRO3.SA,CIEL3.SA,CMIG4.SA,COGN3.SA,CPFE3.SA,CPLE6.SA,CRFB3.SA,CSAN3.SA,CSNA3.SA,CVCB3.SA,CYRE3.SA,EGIE3.SA,ELET3.SA,ELET6.SA,EMBR3.SA,ENBR3.SA,ENEV3.SA,ENGI11.SA,EQTL3.SA,GGBR4.SA,GOAU4.SA,GOLL4.SA,HAPV3.SA,HYPE3.SA,IRBR3.SA,ITSA4.SA,ITUB4.SA,IVVB11.SA,JBSS3.SA,KLBN11.SA,LREN3.SA,MDIA3.SA,MGLU3.SA,MRFG3.SA,MRVE3.SA,MULT3.SA,OIBR3.SA,PCAR3.SA,PETR3.SA,PETR4.SA,PRIO3.SA,PSSA3.SA,RADL3.SA,RAIL3.SA,RENT3.SA,SANB11.SA,SBSP3.SA,SLCE3.SA,SMAL11.SA,SMTO3.SA,STBP3.SA,SUZB3.SA,TAEE11.SA,TIMS3.SA,TOTS3.SA,TRPL4.SA,TSLA34.SA,UGPA3.SA,USIM5.SA,VALE3.SA,VBBR3.SA,VIIA3.SA,VIVT3.SA,WEGE3.SA,YDUQ3.SA
2019-06-10,15.246131896972656,18.070579528808594,27.72001838684082,30.91924285888672,46.86371612548828,44.099998474121094,10.63313102722168,41.16226577758789,20.140289306640625,22.357162475585938,22.514263153076172,6.6541008949279785,93.8499984741211,10.942313194274902,16.773910522460938,27.200000762939453,26.0816650390625,12.328958511352539,5.510362148284912,6.973387718200684,10.403589248657227,20.028396606445312,3.2329816818237305,21.009511947631836,10.70964241027832,13.79435920715332,48.19221496582031,14.72794246673584,35.38998794555664,28.91998863220215,28.96409797668457,18.479999542236328,15.254096031188965,5.71750020980835,38.4821662902832,16.053171157836914,10.816139221191406,4.7822651863098145,30.8700008392334,7.624929904937744,25.488388061523438,750.0189208984375,8.775903701782227,30.638442993164062,74.25,17.878631591796875,13.360997200012207,41.61823654174805,34.21968078613281,6.156313419342041,4.3460845947265625,14.689763069152832,23.816743850708008,14.699999809265137,86.03080749511719,13.953323364257812,12.305902481079102,3.3459999561309814,22.457977294921875,14.070412635803223,19.10909652709961,35.23731231689453,34.79136276245117,44.49851608276367,15.629447937011719,99.06999969482422,16.913597106933594,3.720111608505249,28.908689498901367,18.5507755279541,9.560535430908203,13.640349388122559,17.00375747680664,1.6449999809265137,18.53919219970703,7.542151927947998,35.05961608886719,19.588565826416016,5.059999942779541,33.23501205444336,9.132484436035156,28.620681762695312
2019-06-11,15.306598663330078,18.198949813842773,27.875694274902344,32.26608657836914,46.388999938964844,43.7400016784668,10.85292911529541,41.97964096069336,20.189632415771484,22.46030044555664,22.784902572631836,6.60456657409668,95.41999816894531,10.928449630737305,17.710359573364258,27.0,27.057645797729492,12.778593063354492,5.535521984100342,7.115701198577881,10.363728523254395,20.19824981689453,3.2268548011779785,20.919034957885742,11.16299819946289,14.578492164611816,48.678001403808594,15.045528411865234,35.28011703491211,29.78546714782715,29.65599822998047,18.5,15.128030776977539,5.764999866485596,38.78841018676758,16.29489517211914,11.137184143066406,4.939529895782471,30.950000762939453,7.398056507110596,25.54108428955078,737.3118896484375,8.797463417053223,30.788860321044922,74.25,17.70000648498535,13.395302772521973,42.08302688598633,34.59611129760742,6.298896312713623,4.313008785247803,14.706764221191406,23.68918800354004,14.5,86.03080749511719,14.238572120666504,12.541399002075195,3.259999990463257,21.802444458007812,14.120798110961914,19.258934020996094,35.75590896606445,34.956668853759766,44.25442886352539,15.340302467346191,99.44000244140625,16.861927032470703,3.7465572357177734,28.98384666442871,18.340896606445312,9.543261528015137,13.8042631149292,17.03970718383789,1.6449999809265137,19.38438606262207,7.8108954429626465,37.30071258544922,20.03101921081543,5.0,33.23501205444336,9.19897174835205,28.285093307495117
2019-06-12,15.272046089172363,18.16932487487793,27.243261337280273,30.82234764099121,45.525020599365234,43.619998931884766,10.744455337524414,41.60628890991211,20.226638793945312,22.19941520690918,22.733701705932617,6.612823009490967,94.66000366210938,10.919205665588379,17.6008358001709,27.0,27.168733596801758,12.67068099975586,5.4336066246032715,6.930693626403809,10.31390380859375,20.48133659362793,3.179201364517212,20.439491271972656,10.973910331726074,13.762353897094727,48.2516975402832,14.854974746704102,34.53447723388672,29.442543029785156,29.30607032775879,18.6299991607666,15.198941230773926,5.672500133514404,39.357154846191406,16.12697982788086,11.0531005859375,4.860898017883301,30.670000076293945,7.259959697723389,25.470827102661133,736.3987426757812,8.754343032836914,30.611902236938477,74.25,17.967939376831055,13.326695442199707,42.203880310058594,35.29520034790039,6.175162315368652,4.306394100189209,14.315718650817871,23.85318946838379,15.100000381469727,86.03080749511719,14.029390335083008,12.398255348205566,3.1440000534057617,21.62035369873047,14.339771270751953,19.278911590576172,35.4738655090332,34.72052001953125,43.82258987426758,14.824530601501465,98.4000015258789,16.793031692504883,3.7465572357177734,28.42953872680664,18.17841148376465,9.560535430908203,13.836405754089355,16.737735748291016,1.6449999809265137,18.989349365234375,7.628843784332275,37.3442268371582,19.82990264892578,4.840000152587891,33.48063278198242,9.350943565368652,27.901567459106445
2019-06-13,15.418892860412598,18.248323440551758,28.11893653869629,31.287445068359375,46.9681510925293,44.25,10.778712272644043,40.94549560546875,20.010744094848633,21.956727981567383,22.660552978515625,6.621078014373779,95.13999938964844,10.879919052124023,17.85822296142578,28.56999969482422,27.97014617919922,12.751615524291992,5.654346942901611,7.011338233947754,10.513206481933594,21.12535858154297,3.3105900287628174,20.629497528076172,11.071870803833008,13.698344230651855,49.56035614013672,15.07728385925293,34.840579986572266,28.830181121826172,28.67780113220215,19.020000457763672,15.049240112304688,5.875,39.77714920043945,16.376083374023438,11.198333740234375,4.946678161621094,30.809999465942383,7.589418888092041,25.84849739074707,730.4638671875,8.6393404006958,30.063377380371094,74.25,17.497024536132812,13.712605476379395,42.52923583984375,35.223506927490234,6.3724684715271,4.498230934143066,14.443233489990234,24.600309371948242,14.600000381469727,86.03080749511719,14.21955680847168,12.55063533782959,3.2300000190734863,21.446353912353516,14.270008087158203,19.818321228027344,35.86509704589844,34.25611877441406,44.93974685668945,14.613533020019531,100.6500015258789,16.922212600708008,3.755373954772949,29.998517990112305,18.19194984436035,9.707354545593262,14.183521270751953,16.852773666381836,1.7166659832000732,19.889665603637695,7.741542816162109,37.60531997680664,20.03101921081543,5.039999961853027,33.580406188964844,9.498164176940918,28.764503479003906
2019-06-14,15.237493515014648,18.63343620300293,28.15785789489746,30.18284034729004,46.56938552856445,43.790000915527344,10.204951286315918,40.221012115478516,19.73932647705078,21.920326232910156,22.587406158447266,6.7449140548706055,94.51000213623047,10.778238296508789,17.672027587890625,29.100000381469727,27.414709091186523,12.589746475219727,5.603407382965088,6.89274263381958,10.443449974060059,20.93427276611328,3.2738285064697266,20.358055114746094,10.771153450012207,13.418296813964844,50.11553955078125,15.085226058959961,34.2283821105957,28.822011947631836,28.773237228393555,18.670000076293945,14.938928604125977,5.789999961853027,39.65465545654297,16.496017456054688,10.969016075134277,4.83230447769165,30.31999969482422,7.46118688583374,25.470827102661133,712.2022094726562,8.610595703125,30.072208404541016,74.25,17.15601348876953,13.532513618469238,42.61289978027344,35.17869186401367,6.4320549964904785,4.438694953918457,14.706764221191406,24.782533645629883,14.399999618530273,86.03080749511719,14.35267162322998,12.495223045349121,3.2039999961853027,21.405887603759766,14.39790153503418,19.748397827148438,35.82870101928711,34.14591979980469,43.785037994384766,14.277499198913574,100.8499984741211,16.96527099609375,3.755373954772949,30.53403663635254,17.9956111907959,9.534626960754395,14.553135871887207,16.71616554260254,1.7166659832000732,19.751861572265625,7.507474899291992,37.278953552246094,19.821861267089844,4.96999979019165,33.67251968383789,9.464921951293945,28.17003631591797
2019-06-17,15.375701904296875,19.453031539916992,28.021638870239258,30.454147338867188,46.75927734375,44.779998779296875,10.133585929870605,40.18119812011719,19.62830352783203,21.865726470947266,22.602039337158203,6.827471733093262,94.25,11.034751892089844,17.327016830444336,28.700000762939453,26.938621520996094,12.427878379821777,5.620388507843018,6.978132247924805,10.154460906982422,21.160743713378906,3.2282168865203857,20.186141967773438,10.50232982635498,13.098238945007324,50.611244201660156,15.045528411865234,33.796695709228516,28.11166763305664,28.001811981201172,18.770000457763672,14.655277252197266,5.800000190734863,39.41840362548828,16.42774772644043,10.862003326416016,4.7822651863098145,31.0,7.336899280548096,25.400564193725586,733.50732421875,8.603405952453613,30.036836624145508,74.25,16.953033447265625,13.498209953308105,42.99403762817383,34.97254943847656,6.308321475982666,4.445309638977051,15.046807289123535,24.172080993652344,14.199999809265137,86.03080749511719,14.333651542663574,12.518311500549316,3.2239999771118164,21.672956466674805,14.533551216125488,19.28890037536621,36.16532897949219,34.11442565917969,44.32953643798828,14.847973823547363,100.69999694824219,16.96527099609375,3.8170812129974365,30.90984344482422,17.941444396972656,9.31871509552002,14.45992660522461,16.85996437072754,1.8316659927368164,19.843734741210938,7.455460548400879,36.40862274169922,19.387449264526367,5.070000171661377,32.70539855957031,9.64063549041748,27.62350845336914
2019-06-18,15.591652870178223,20.094881057739258,28.35245132446289,32.19825744628906,46.52191925048828,45.25,10.878621101379395,41.120643615722656,19.856536865234375,22.05380630493164,23.443214416503906,6.769680976867676,95.7699966430664,11.265847206115723,18.066320419311523,28.200000762939453,28.208187103271484,12.589746475219727,5.730757713317871,6.921205043792725,10.214252471923828,21.19613265991211,3.2431936264038086,20.548059463500977,10.639020919799805,13.514309883117676,50.35348129272461,15.442505836486816,34.2833137512207,28.12799835205078,28.041574478149414,18.729999542236328,14.623762130737305,5.847499847412109,39.0771598815918,16.53476905822754,11.267128944396973,4.99671745300293,31.950000762939453,7.496697425842285,25.2863826751709,747.4318237304688,8.768715858459473,30.815387725830078,74.25,16.71757698059082,13.661151885986328,43.2264404296875,35.24142837524414,6.326562404632568,4.37254524230957,15.599370002746582,24.65497398376465,14.199999809265137,86.03080749511719,14.552342414855957,12.675310134887695,3.2100000381469727,21.761978149414062,14.52967643737793,19.72842025756836,36.5019645690918,34.76775360107422,44.02912521362305,14.535384178161621,101.75,17.016937255859375,3.86997389793396,31.360807418823242,18.076854705810547,9.681445121765137,14.382790565490723,17.248210906982422,1.8316659927368164,19.604875564575195,7.611504077911377,37.714115142822266,19.88621711730957,5.070000171661377,32.1681022644043,9.802103996276855,27.441335678100586
2019-06-19,15.721224784851074,20.065256118774414,28.21623420715332,33.08969497680664,47.46185302734375,45.400001525878906,10.673093795776367,41.79737091064453,20.31917381286621,22.326818466186523,23.209150314331055,6.621078014373779,96.62999725341797,11.462274551391602,18.13751220703125,28.600000381469727,28.406558990478516,12.61672306060791,5.815657138824463,6.9259490966796875,10.453415870666504,21.019201278686523,3.3357784748077393,20.439491271972656,10.639020919799805,13.282272338867188,51.503509521484375,15.640996932983398,34.032161712646484,28.830181121826172,28.21653938293457,18.59000015258789,14.69467544555664,5.902500152587891,39.54965591430664,16.698991775512695,11.435297012329102,5.082498073577881,32.81999969482422,7.690033435821533,25.470827102661133,748.04052734375,8.898090362548828,31.302005767822266,74.25,17.25344467163086,13.88412094116211,44.481407165527344,35.49238586425781,6.3843255043029785,4.313008785247803,15.675882339477539,25.001203536987305,14.300000190734863,86.03080749511719,14.661687850952148,12.707633018493652,3.181999921798706,21.79030418395996,14.727331161499023,20.457622528076172,37.266212463378906,35.106224060058594,44.958518981933594,14.33220386505127,102.30000305175781,17.421693801879883,3.8876047134399414,31.003795623779297,18.246112823486328,9.940540313720703,14.45992660522461,17.43514633178711,1.8215830326080322,19.246580123901367,7.507474899291992,37.931697845458984,19.805768966674805,5.059999942779541,32.2371940612793,10.05380630493164,27.978273391723633
2019-06-21,15.937174797058105,20.519489288330078,28.702720642089844,33.47727584838867,47.72769546508789,44.2599983215332,11.346763610839844,42.123779296875,20.787982940673828,22.830394744873047,23.552932739257812,6.56328821182251,98.22000122070312,11.635598182678223,18.08822250366211,28.65999984741211,28.16851806640625,13.057365417480469,6.180728912353516,6.992363452911377,10.832090377807617,21.075817108154297,3.3187594413757324,19.86041259765625,10.529667854309082,13.202258110046387,52.812164306640625,15.760089874267578,33.89873123168945,28.356616973876953,27.9540958404541,19.1299991607666,14.734071731567383,5.869999885559082,39.8996467590332,16.826309204101562,11.634037971496582,5.1253886222839355,32.20000076293945,7.763027667999268,26.08563804626465,756.9430541992188,9.056215286254883,32.009788513183594,74.25,17.919225692749023,14.19284439086914,43.67265319824219,35.151798248291016,6.464888572692871,4.332854270935059,16.474973678588867,25.5023193359375,14.300000190734863,86.03080749511719,15.11332893371582,13.058571815490723,3.2660000324249268,21.911705017089844,14.426970481872559,20.8571834564209,37.21162796020508,35.97207260131836,43.8883056640625,13.964910507202148,103.0,17.48198127746582,3.905235528945923,31.71781349182129,18.16486930847168,10.242814064025879,13.977823257446289,17.392009735107422,1.7612500190734863,19.659990310668945,7.533481597900391,38.033233642578125,20.11146354675293,5.099999904632568,32.2371940612793,10.17728328704834,28.620681762695312
2019-06-24,15.80760383605957,20.11463165283203,28.965425491333008,32.84745788574219,47.5662841796875,43.56999969482422,11.332490921020508,42.22727966308594,20.880516052246094,23.012409210205078,23.487104415893555,6.56328821182251,98.30999755859375,11.508495330810547,18.175846099853516,28.889999389648438,28.700143814086914,12.814563751220703,6.154941082000732,7.006592750549316,10.891880989074707,20.94135093688965,3.2881243228912354,19.99613380432129,10.579787254333496,13.154250144958496,53.0798454284668,15.879182815551758,33.7025146484375,28.030019760131836,27.675750732421875,19.420000076293945,14.741947174072266,5.957499980926514,39.339656829833984,16.743276596069336,11.565244674682617,5.139685153961182,31.93000030517578,7.766973495483398,26.5423526763916,768.8892211914062,9.092154502868652,31.939001083374023,74.25,17.69188690185547,13.995603561401367,44.06307601928711,35.6088981628418,6.383717060089111,4.379159450531006,16.576988220214844,25.474987030029297,14.399999618530273,86.03080749511719,15.051525115966797,13.044718742370605,3.2019999027252197,21.78221321105957,14.595559120178223,20.727327346801758,37.821205139160156,36.12162780761719,43.65360641479492,13.800800323486328,103.44999694824219,17.525039672851562,3.8787896633148193,32.43185043334961,18.381521224975586,10.285996437072754,14.009963035583496,17.643644332885742,1.7612500190734863,19.724302291870117,7.576828956604004,38.00422286987305,20.11146354675293,5.110000133514404,33.17360305786133,10.248520851135254,28.42891502380371
